"Hotel","Hotel"
"Destination", "Destination"
"Check-In","Check-In"
"Check-Out", "Check-Out"
"Parking", "Parking"
"Email", "Email"
"Contact", "Contact"
"No of Rooms", "No of Rooms"
"No of Guests", "No of Guests"
"Name", "Name"
"Inclusions", "Inclusions"
"Price","Price"
"Overview","Overview"
"Facilities","Facilities"
"Address","Address"
"Zip Code","Zip Code"
"Check-in", "Check-in"
"Check-out", "Check-out"
"Rooms", "Rooms"
"Internet", "Internet"
"Website", "Website"
"Check Availability", "Check Availability"
"Book This Room", "Book This Room"
"Select room","Select room"
"Prices from","Prices from"
"Search for hotels","Search for hotels"
"Destination(City)", "Destination(City)"
"Search & Book Hotels", "Search & Book Hotels"
"Room Name","Room Name"
"Check In","Check In"
"Check Out", "Check Out"
"Days","Days"
"No of Rooms(Qty)","No of Rooms(Qty)"
"No of Guests","No of Guests"
"Kindly enter Check-in Check-out dates","Kindly enter Check-in Check-out dates"
"The rooms available for currently selected dates.","The rooms available for currently selected dates."
"Error occured! Please try again.","Error occured! Please try again."
"Kindly be patient until we check room availability ...","Kindly be patient until we check room availability ..."
"Redirecting to cart, Please be patient...","Redirecting to cart, Please be patient..."
"Congrats! Rooms available.","Congrats! Rooms available."
"Book this room now","Book this room now"
"Book now!!","Book now!!"
"Special Price :","Special Price :"
"Regular Price :","Regular Price :"
"Destination(City)","Destination(City)"
"Check-in","Check-in"
"Select City","Select City"
"Check-out","Check-out"
"Map & Directions","Map & Directions"
"RELATED HOTELS","RELATED HOTELS"
"COMPARE HOTELS","COMPARE HOTELS"
"RECENTLY VIEWED HOTELS","RECENTLY VIEWED HOTELS"
"RECENTLY COMPARED HOTELS","RECENTLY COMPARED HOTELS"
"RELATED HOTELS","RELATED HOTELS"
"Related Hotels","Related Hotels"
"COMPARE HOTELS","COMPARE HOTELS"
"Compare Hotels","Compare Hotels"
"RECENTLY VIEWED HOTELS","RECENTLY VIEWED HOTELS"
"Recently Viewed Hotels","RECENTLY VIEWED HOTELS"
"RECENTLY COMPARED HOTELS","RECENTLY COMPARED HOTELS"
"Recently Compared Hotels","Recently Compared Hotels"
"MY WISHLIST","MY WISHLIST"
"My Hotel Reviews","My Hotel Reviews"
"View Details","View Details"
"Status","Status"
"CSV Successfully Imported","CSV Successfully Imported"
"There was an error while importing","There was an error while importing"
"Hotel Orders","Hotel Orders"
"Export - Hotel Product","Export - Hotel Product"
"Import - Hotel Product","Import - Hotel Product"
"Import Settings","Import Settings"
"import","import"
"export","export"
"Import","Import"
"Contact No","Contact No"
"Export","Export"
"Export Settings","Export Settings"
"Export Products","Export Products"
"Account Dashboard","Account Dashboard"
"MY ACCOUNT","MY ACCOUNT"
"Availability Dates/Timings","Availability Dates/Timings"
"Room types & Prices","Room types & Prices"
"More About Hotel","More About Hotel"
"Gift Options","Gift Options"
"Related Hotels","Related Hotels"
"Hotel Reviews","Hotel Reviews"
"Hotel Tags","Hotel Tags"
"Customers Tagged Hotel","Customers Tagged Hotel"
"Active from","Active from"
"Active till","Active till"
"Check Out TIme","Check Out Time"
"Check In Time","Check In Time"
"Rules","Rules"
"My Hotel Tags","My Hotel Tags"
"Book now!!","Book now!!"
"Cancel","Cancel"
"Search &amp; Book Hotels", "Search &amp; Book Hotels"
"Top Destinations","Top Destinations"
"There are no hotels matching the selection.","There are no hotels matching the selection."
"Top Destinations","Top Destinations"
"Compare Hotels","Compare Hotels"
"Add Your Hotel Tags:","Add Your Hotel Tags:"
"Fax No","Fax No"
"No of rooms","No of rooms"
"Hotel Name","Hotel Name"
"Book this room","Book this room"
"Recently Added","Recently Added"
"Terms & Conditions","Terms & Conditions"
